document,time
"Watching the show with friends - huge performance hall.
Sat in a chair, Lily sat next to me, I put my arm around her, she said: this is a nice hug
Drove away in my Tesla (black, gullwing doors), took quite a while to find it in the parking lot, auto-pilot didn't work well, car wobbled around nearly hitting the car in front of me. Changed to a friend to drive, still did.
Leave by subway, outside the theater is a stone road town look, the subway is indeed the New York subway, at first did not see the road signs walked to the side of the highway, friends (Mr. Tang and others) drove to pick up, in the subway entrance (New York's Line 1) and so I took a long time to find, Mr. Tang said he went to the bridge around the circle did not see me, back to the subway and so I.
I took the subway from Shenzhen to Beijing - the stations on the subway started from the first station in Beijing, and I thought, ""This will take quite a long time to get there.",1.12-13 2:30AM-12:30PM
"New Year's Eve, watching a soccer match with friends, Chelsea lost to? XuanXuan knew the result early and commented that it would be strange if Chelsea won, the crowd laughed.
See Xiao Yidu, its home district (upgraded version of purple gold Chang'an) has gone up from three million to thirty million.
Go on a trip, the night before departure to organize things, it seems to have forgotten to bring something.",1.14-15 ~1AM-8AM
"Half asleep after the alarm went off, dreamed I slept through it, and then woke up to see it was 11:30AM. After I woke up, I found out that it was actually 9:00. Half asleep, half asleep, discussing with Professor Lu about the conditions of my apartment (*in reality: I just had dinner with Professor Lu the night before). It sounded like Professor Lu was not satisfied with the condition of the kitchen. Back to my apartment, I see Kaisiling come in and she tells me to go to an event with the others, Kaisiling is only wearing a pajama top and shorts.",1.15-16 1:30AM - 9AM
"Planning with harry and Tong Hui and others to drive themselves in the US or at home. The plan was to take the 4am train from Tangshan to Guiyang and then rent a car and drive ourselves, but then thought the distance from the US was too far and was still considering it for a while. During the dream, I discussed with Harry the child abuse incident shared to me on WeChat.
I had many dreams about traveling: once in Europe (Spain and France?) travel, once in Brazil (?) with my mom I also planned to spend a few days in several other countries in South America (or Europe) (Portugal/Chile?). Although it didn't work out in the end; once I was in a beach country (Bahamas or Puerto Rico?) with college friends (such as Mr. Liu and others), driving jeeps on the beach and walking on the beach - walking through a castle in the sand and watching the water freeze over as the temperature dropped, and going out to sea in a storm; once in Italy with others, probably the same time dreaming about a lake in Africa with many glass skyscrapers that we visited inside, and many other times dreaming about At the airport (Beijing or New York) getting ready to board, checking passports, following the crowd to find the gate]",1.17-18 1:15AM - 8:30AM
"I was working in a Chinese restaurant as a ""coordinator"", and my job was to collect feedback from customers and communicate it to the restaurant management. One time, a customer said there was a problem with their hairy crabs [David S mentioned hairy crabs on the drive to ski that morning], so I gave that feedback to the restaurant's back of house. They gave the customer two hairy crabs as compensation.",1.20-21 11:30PM - 7AM
"I dreamt of wandering around an amusement park-like environment, (doing something, interacting with a child - but I can't remember) and ending up in a conference room, presenting a paper to the scan lab members. The paper's title was already settled, but I thought I wasn't familiar with its content, so I decided to present on a more familiar paper by Jeff Brooks and Jon Freeman on how emotion concept affects face perception. I started to describe it very smoothly, but then I suddenly got stuck, I was very nervous and wished time could be suspended, so it seemed time was really suspended. So it seemed that time did pause, and I woke up from my dream.",1.21-22 11:45PM - 8:20AM
"Went to an info session of a study abroad institution, asked Mr. Tang and Wang Yue, they also went together. The scene changed to a building, took the elevator to the upper level, in front of which were huge glass floor-to-ceiling windows [like the ones that appeared in the dream before, the top floor lounge where you can eat buffet]. Back on the ground, take the bus home, passing Yuyuantan Park in the middle, I calculated the time according to the navigation, ready to let my mother come to Wukesong subway station to pick me up, but the message was not sent. The one-way fare was eleven yuan, and I was a bit chagrined when I accidentally swiped it twice after getting on the bus. The scene shifted to an indoor space where Harry and I were playing a game that was a bit hard to play, constantly failing and starting over, and I ended up talking to my elementary school classmate (I forget who it was) about it and he made a comment about the game (can't remember the content).",1.22-23 11:20PM - 8:50AM
"I took a test (similar to a college entrance exam), probably in chemistry or biology. At first, I did it quickly and even had the illusion that I could get a perfect score. However, one of the topics was calligraphy, and I sat face to face to write with Gaoteng. He Yuesen was also there. I was so dissatisfied with my writing that I took so much time that I couldn't finish the next question - categorize different items - and I didn't finish it. At the end I seemed to see my score, about 82%, and thought it was okay.
After that, I was doing pull-ups, surrounded by friends and classmates. I did a few of them easily (I felt like I was doing them with assistance) and tried to get my whole upper body up on the bar. The students around me expressed their admiration. Then I played tennis. I couldn't reach a few balls in a row, no matter how I adjusted my posture and stroke time. After a while, I heard the person next to me say that all the balls were actually hit, and most of them were still in bounds, but I couldn't feel them myself.",1.23-24 11:30PM - 9AM
"Playing real life chicken, saw a very good submachine gun on the ground, picked it up but found no bullets, so picked up the one next to it and continued the game.
After that, I came to a small theater to watch a play/comedy show [I was going to see Elizabeth's performance that night]. There was an Asian boy in the main act, another person was supposed to be on but did not show up, so he performed, and he gave a speech after the show, lamenting that drama/comedy is not valued now, looking a bit sad.",1.24-25 11:30PM - 8:30AM
"The first scene: and Sky and Jocelyn in a place, Jocelyn said she was going to have a baby, from the sperm bank to take out the sperm to do the in vitro fertilization. It is a blonde child [before my mother and I said that one of her colleagues was born a mixed-race baby] the child was born and looked very healthy playing happily on the ground.
Afterwards, we saw a crazy man who was in pain because of something (can't remember) and kept chasing us. Finally collapsed on the ground, seemingly in a life-threatening condition.",1.26-27 2AM - 9:30AM
